Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
..93.6....1..4863.8....1.9....5...8.3....4.75...893.4...7.......586......9.4..1..,28,106,12,3,2,3,1,6,8,Expert,
..9..15..........7......61.74.5.69.8.........3964..7....7..5.....48.93..1.....8.6,26,37,18,0,0,0,0,0,0,Easy,
...7.8.1..78.54.........5......8.........732....246....438...56.26.3....1......8.,25,42,14,0,0,0,0,0,0,Easy,
....2.3..3..7..5245.7....6...2.856..9..2...7..4.9.....29.3......7....8..4.......6,26,38,17,0,0,0,0,0,0,Easy,
1......4.........2642........6..4..8..9...621.8......3...7.28.6.184.32.9....81...,27,30,23,1,1,2,0,1,0,Expert,
...3..645...5..9.......8.3..42.7..9........6.....4.2.7.89..432...7.3.8.6..5.82...,28,42,10,1,1,0,0,1,0,Expert,
...6.187..3..2...65..7....961.5..............7.2..9.....93......5.16......1...2.5,24,44,18,0,0,0,0,2,2,Expert,
.........1..73..9.7..8.9....71.5...836.9....5..5..143.........7.5.3....6.4....8..,25,41,15,0,0,0,0,0,0,Easy,
6.49.25..58...7....9.....2..7.......8.5..67..2.6........9.54..6...7...38...3..9..,26,49,6,0,0,0,0,0,0,Easy,
..89..3..2...15..6..1.7.9....7.........3..8.2....6.5..5....2.8....1...53......7.9,24,85,16,0,0,3,0,4,6,Expert,
.9.26.8...7.1.4.....6..572.8...51..9..7..2.416..9............9..8.......5.1....7.,26,44,11,0,0,0,0,0,0,Easy,
3...2.7...5..8.3....87.32.1..........3..54....71..6.3.......6455....2.........17.,25,43,13,0,1,0,1,0,0,Intermediate,
.416....5.3.1..2.89..83.4......85......462......9.......9......5..29...1.8....34.,26,43,12,2,0,0,0,0,0,Intermediate,
8.....6.....891.....4........6.....95..32.1...8.....2..4.1..86....5.2.4.6.2..931.,26,49,6,0,0,0,0,0,0,Easy,
.29......6.5......14..65......9......18324...9...1.4............3..41.26.....954.,25,38,18,0,0,0,0,0,0,Easy,
8.627........45....31.6.2..2....78...4.82.3...8...6........3..8.62......3...1...5,26,44,17,0,0,0,0,2,2,Expert,
.....34...52..1.97.4....2....89..........7..2...3.4...........87....23..2.947...5,24,36,27,0,0,1,0,2,2,Expert,
.96..8.7........8..5..9.....2..1...9.675..82...138...6............2...9......721.,24,42,15,1,0,0,0,0,0,Intermediate,
.4...8.3........2..2.6.49....3.....9..28..51.68..3.2..1..249.8....1..........34..,26,41,13,0,0,0,0,1,0,Expert,
..6.5...45....681..41.....278...........12....1.36.4...7........2.1..5.....475...,25,48,8,0,0,0,0,0,0,Easy,
..68.1......53......4...1...9..2..........635......9..68.95...2.3..8...49..3....1,24,51,6,0,0,0,0,0,0,Easy,
..1..8...65.27..3...76...............6..8532..4.36.5.....8...1.135......2..7.46..,27,54,0,0,0,0,0,0,0,Simple,
..3...6.4...35......7.....2.....6..77...8....8...37.4...8..9.5.9.527.4...6...87.9,27,33,21,0,0,0,0,0,0,Easy,
.....1.235.3...6..61.2.9......3...8.....85.....9.......6.85......84.3..6.4..1..5.,25,43,13,0,0,0,0,0,0,Easy,
.8.....25.2.......5.1...8...5.3...62..7..2..1.68.........8.9....3.25.......6..1.7,24,33,24,0,0,0,0,0,0,Easy,
7.....51..61..7...49....8..........8....12....1256.9..52....4....9.......4...1.8.,24,43,14,0,0,0,0,0,0,Easy,
..4...5..325..17...19.......7...2...1....94.....5.........9.35..5..376.92..1.....,25,29,27,0,0,0,0,0,0,Easy,
2....73...43......7.8.........52.4.36....85......4.27.4.28.9...9...3.....67..2...,26,40,15,1,0,0,0,0,0,Intermediate,
.1.9....2.683.7..5....85...6...3....8.27.6.....15..7.9.2.6..........1..3..7......,25,43,13,0,0,0,0,0,0,Easy,
.........9.32...8.7....62.5.....19.36..9..7..5...62....12.8..3....1....8......5..,24,46,11,0,0,0,0,0,0,Easy,
.7.1.423.....528.7...........49.....5....3.8278.........1.....3.32.....89.....14.,25,51,5,2,0,0,0,0,0,Intermediate,
....781........9.6...9...386.51..7.........2..9..32..1.....5..9...32.65...7...3..,25,45,11,0,0,0,0,0,0,Easy,
......5..5..96.32...9....4...341.6.5..........6......1..1.9...2..723.......6.4.9.,24,41,16,2,0,0,0,0,0,Intermediate,
.8........13..69..2..9.....7...1923..267.4......3..46..97...3.....4..8....2..8...,26,47,8,0,0,0,0,0,0,Easy,
..3......25....19818......787...3...53..9.............7.8..24.33.18.4.5........1.,26,43,12,2,0,0,0,0,0,Intermediate,
..1...7.3..8..146.397.4..28....18.34.........213.......39..6..26...7...........8.,27,50,7,1,2,2,0,3,2,Expert,
...5.89.6....9.3.17...1.85.23.........59.....96.7.5....8725....1.2..3....5.......,27,34,20,0,1,3,0,0,0,Intermediate,
.8.25..96.....31.......1528......96..1...2.....4.6.....235....9.4...6...8.1.4..3.,27,54,10,4,1,2,0,4,2,Expert,
..9.....8..3..2.6....6.....18...5..3.76.3...9...8......1...6.25..83.7....5.......,23,41,17,1,0,0,0,0,0,Intermediate,
.93.15.76...7.6........98..56..8......1.2......7.91...3.2....9.......2.7.75....3.,26,39,15,0,3,3,0,1,0,Expert,
......1.....3.62....2.4.536............9216...95.8...2.29..3...1..4...63...15.9..,27,36,18,0,0,0,0,0,0,Easy,
.5...91.3..47..95..6......4....6....6..3.1..5.3..4..9....1.4...1.........9.532..6,26,32,23,2,0,3,0,0,0,Intermediate,
.3...29.74....762....5..............8....4..2...7..5.6968..3...7...4.3.....28..7.,25,39,17,0,0,0,0,0,0,Easy,
14.28..9.3...64....69....2..26...917......2..8.......6..8..7.........179.3..9...2,27,44,9,0,0,0,0,1,0,Expert,
....9.2...1.6.2985.........25........9....3..6.8.........81.43..2.43..96..1.2.8..,26,45,10,2,0,0,0,0,0,Intermediate,
..9..6.28.61.....77..2...5.576...9..4..8....6...1............9.........5..24.1...,23,58,0,0,0,0,0,0,0,Simple,
65....2.34..6......82......7.5.6.4.........32.34....1.5....1..7..38..1.....7..8..,25,41,15,1,0,0,0,0,0,Intermediate,
.....4....5..9.1..1..85.9.......36.89......4....51.3....5.8.4.....6...7569....83.,26,39,16,3,0,0,0,0,0,Intermediate,
.....2..6.......9.63....18.9..4..21.1....6.342....19..56.1.4....1...5....28.9.6..,28,33,19,2,0,1,0,1,0,Expert,
5..4.21....9..6.45.4.19...79........6.7.2.......987.....2.1.7...........1..7.4..9,26,38,19,2,0,1,0,3,2,Expert,
.81.92..3.7.3.......5.....22...5...7...8.639.6....3..8..3...1...29....85.........,25,52,15,2,0,1,0,2,2,Expert,
7.6.5.....236..4..4..2...6.6.24.......7..9.....53..98.......63......2.79......8.5,26,94,21,1,3,5,0,7,10,Expert,
.71...69...2....7.6....34.8.....6...1....9..72..74....49.8..1.....964.......3....,25,41,15,0,0,0,0,0,0,Easy,
.8..29..6......2...61..75..75..8.9.1...372.................3.6.91..583..62.......,26,46,9,0,0,0,0,0,0,Easy,
738..1......6...95...27....92....5....7....3.65....2.1...18............2.1...5..3,24,44,11,0,0,2,0,2,0,Expert,
.3.5.964.....34..........9....6.3.7..1..5....5..7...8.7...413......7..51...8.....,24,43,14,0,0,0,0,0,0,Easy,
8...1.95.21..5.8.6..3..6.....57.....3.829.......6.............9.271............32,24,47,9,0,1,1,0,1,0,Expert,
..3...84....7.3.....16.85.....5....4..9..1....6..........8.6.71.86....3.71..54..9,26,58,9,5,0,2,0,2,2,Expert,
7...3....92.1.....1456....2.7..4..396.......5.3..726..3.6...9..4....95......5....,27,80,9,0,2,2,0,4,4,Expert,
5....2.6.2......7...........267...3..734..........6....5..3.724.....5.898.9....53,25,37,19,1,0,0,0,0,0,Intermediate,
.4..6..7........4......812...94..3.......18..71..2........82...18.9......6...37..,23,45,13,0,0,0,0,0,0,Easy,
6.18..............4.....2.38..76...9.29..3..4..6.............979.8...6...7...2.1.,23,60,16,2,1,4,0,3,2,Expert,
.....81.9........6...31.45..4......852.1.6...6.9..53.....5..8..3.64..92........41,27,47,6,0,0,1,0,1,0,Expert,
.3..9............95...........34..6.....8.95...9.2.3.4..5...48...3..5.12..12..6..,24,44,13,0,0,0,0,0,0,Easy,
...1.48.3.4...52...39.7.............15.3......24....57.9...874.21..........59....,25,54,2,0,0,0,0,0,0,Easy,
...8......481..3....1.2.9..59.....6.............6..24.6..4..592...51...6..4.9.8.1,26,36,19,0,0,0,0,0,0,Easy,
54.81..3.83.7...5.6...3.....89...31..5.....94.....7...........1.6.....8..1..69...,25,49,23,2,0,1,0,2,2,Expert,
..2...7..1......9.5....3.1..2......73.4.......9...1.387.591...3....35....8....4..,24,36,21,0,0,0,0,0,0,Easy,
.5874..13.1....4.7.94...2....1435.............2...1534....8........27.8..3......2,27,43,19,3,0,0,0,2,2,Expert,
..35....7.......25.46.3....63...2.4...9...17..5...............1......79.72...6...,22,41,18,0,0,0,0,0,0,Easy,
.4..92.......53......61.52...51.....3.....9........37.4.6...7....9....61..1..5.94,25,43,13,0,0,0,0,0,0,Easy,
...5...167....1..5......9.....1.26..27.....9..6..94..8..5.86..4.........18...7...,24,43,14,0,0,0,0,0,0,Easy,
..9.......2..6.5.1.65...84..529.13....1..32.53...4..98....32......1..6...........,26,48,7,0,0,0,0,0,0,Easy,
.54.....7........5.79....16.....7.9...2.9.7......8..61.6.4....9.4..5....1.7...2..,24,51,12,1,0,0,0,2,2,Expert,
.6.2..35...5..4.9.2..6..........16...7.36.5.961..5..2.........3...14.9.....7.9.6.,27,43,11,0,1,2,1,0,0,Intermediate,
471............4..58.2....7.5....6..7.......2.624.7153.1......53.....286.28....4.,28,46,7,0,0,0,0,0,0,Easy,
..473...8.....1...69.48..7......81......9.....4.6.7......31.2..3.2...4..1.....89.,25,33,23,0,0,1,0,0,0,Intermediate,
.1..83.525....1.6....2.4..........436......95....3......4..26...6.........381.9..,24,29,28,0,0,0,0,0,0,Easy,
5.3.7...2....5.9....92.41...1..6..54....25..33..4....66..73...........2...21.....,26,48,12,2,1,0,0,2,2,Expert,
..4382......6....2.1........5.........8.537......1.4.3.81..4.....27...1..4..6..7.,24,41,16,1,0,3,0,0,0,Intermediate,
6..98.7..1..........52...9871.8......98..2.6..3.7......6.....3.3..6.7.2....5.....,25,46,9,1,1,1,0,1,0,Expert,
6..5....1...1......319.4...87.4.93....4.5..8.5......9.4.....53..5....7...9.....48,26,43,22,3,0,0,0,2,2,Expert,
1......75..75.68...9..4..2.7.46....8....8...2....7196..6.....1.........9......5.7,25,31,25,1,0,0,1,0,0,Intermediate,
..51.........283..3.....57.7...6.........9.....2.351..5.......8..89...261....6..3,24,54,6,0,0,0,0,2,2,Expert,
....7..91.....8.5.2...........2.38..7......1..84.57.....8.9.......1....7..9384...,23,37,21,2,0,1,0,0,0,Intermediate,
.9.........3254..62.4...3....68....98..3..56...9..28.4..2.......1563..........4..,26,60,16,3,1,3,0,7,4,Expert,
.2......5...94..1.1....2.96..6.9.14.....7....51....6....3.6.......4.95......31.2.,25,53,27,2,0,2,1,4,2,Expert,
.1.....9.......8.4..6.3......9..4.6........738...1.....619........1....63..87.51.,23,41,17,0,0,0,0,0,0,Easy,
..87..2....71...4.6...4.19.1.4.......7.......2........3...9.....2..8.6.38....647.,24,46,11,0,0,0,0,0,0,Easy,
....8.4......467.1.4.9....6..6.75......36...53......19.5.............1871...38...,25,50,5,1,0,2,3,1,0,Expert,
...8527.6....9...2..1..498...5.678........6......1.....1.7.82.47.2.....8.94...5..,28,50,3,0,0,0,0,0,0,Easy,
8.6.......7....85.9...2.74.76........2...6..1..97.......71.85...5....1...8..67.2.,26,55,23,0,0,0,0,2,2,Expert,
.38.....942............8.5.5......8..7.9.2..668.7......9.53.6........24.....2.3..,24,43,14,0,0,0,0,0,0,Easy,
...3........8..3...1..6..7..8.....97.7.9.65.41....58..8........6.45.8......14...6,25,41,15,0,0,0,0,0,0,Easy,
..5.71.....63.9.......5.8...51.87.3.2...3...8..9..572............7..85...18...9..,26,57,6,2,0,1,0,4,4,Expert,
.8...3..6..1....4.5..1..8...2....5...1...4.8..37.8.......875..1......32......2.6.,24,67,13,3,1,2,0,5,4,Expert,
34.........52.....9.2.75.4.1...9..7..5.72..9........82281....34.3....8..7.....9..,27,43,10,0,2,1,0,1,0,Expert,
7.5.6........8.............2.63..4..4..8....2..1.2.6.5..8....7..6217.53.....3..4.,25,48,8,0,0,0,0,0,0,Easy,
......92.....7...4..4..87....9.1.4.....2..1.6..8....9.6..8...5......42...8.5.2..1,24,55,2,0,0,0,0,0,0,Easy,
7.3.2....8....7..5..6.319....1.9...72.5.73.6...82.5.........35........16......2..,26,41,13,1,0,1,0,1,0,Expert,
..73..5......14....4.768........7..5...........16..8.9....8.9.69.6...35.8......74,25,45,11,0,0,0,0,0,0,Easy,
7.4...2..3...4178..5..2.4..47....63..36........52.......7.1385...3......18.......,27,46,8,2,0,0,0,0,0,Intermediate,
..2.4.8...9..61.....8........34...297..3..............3......1.4..29.6.......6.82,22,40,19,3,0,1,0,0,0,Intermediate,
.984.7....7...1..93...8............7....1.3.67.....1.29...3....1..8.92.4....72.9.,26,41,14,0,0,1,0,0,0,Intermediate,
....2.4....4......92...3..5.1..5.72...8....9.735...8..1..5........4....8..789..3.,25,27,29,0,0,0,0,0,0,Easy,
.2....4.34....65.19...7..6..3.2....756.94..2...2....4.3....4..5....3........9....,25,41,15,0,0,0,0,0,0,Easy,
9...4.5.7.5.2...1.2..8.....5..3......3.7....489..52....89.3..........8....3..1..9,25,35,21,0,0,0,0,0,0,Easy,
.8..2..1.........42.1.83.5...3..1...........69.4........95...81.5...4.3.8.......9,23,35,22,2,0,0,0,1,0,Expert,
81........52..864...4....92..5.6...7.7...512..2...............45....7..8.6.1.97..,26,50,4,4,1,0,0,1,0,Expert,
..52..6..........1.....62.96.49.3...8...4.....9.6.8.13......9.52....98..5..4.....,25,39,17,1,0,0,0,0,0,Intermediate,
75..4..1.4....5..8.83.6.9..1.54......79..3.....891.5....4.9.1.....3...9.........6,27,39,15,0,0,0,0,0,0,Easy,
........8.2.56.....31.9.26...53...8..9..2...72.8...9....3...6.5.72...1..1........,25,48,8,0,0,0,0,0,0,Easy,
7.....3......8...6...6..4.818..6.........5..95.793........71.8....8......3.....45,23,44,10,1,0,2,0,4,0,Expert,
4.82......2....7..95.47...32........5....719....9...2.3.1...9...9....4.2.....8.1.,25,51,17,0,0,1,0,2,2,Expert,
.1263.......59..1.......4.2.........5....9....71.....6.5.2..97...4....5.3..7..2.4,24,46,11,1,0,0,0,0,0,Intermediate,
..4..5..18..97....6918.....1834..6...4....5........9..3....7..5.59648....6.......,27,41,13,0,0,0,0,0,0,Easy,
...4..5....1.6..3..3.7.....46...738.....2..6..85...17..........1..5..6.4726...8..,26,37,18,0,0,0,0,0,0,Easy,
.25...49.9.4...36..8.6.........83.2..3..51.8....4.....3.6.9.......3.5.....8.2.5..,26,34,21,1,0,0,0,0,0,Intermediate,
.5..23.6.....5..9.91.4.6..3..........2.......6.1.....53...4.126..9...3..7..6.....,24,53,4,0,0,0,0,0,0,Easy,
35....7...987....31......2..2....17.7......65.89...3.......62..51...98.........56,26,55,0,0,0,0,0,0,0,Simple,
.....1..3.5.39..1..8..2.69.6.3..4....9.6.......4918....6.5.3...9.8......14.......,26,47,8,0,0,0,0,0,0,Easy,
..63...5.84..9.2..........7.5.4.67..6.....5....97.......3..4.9...5...8.2.2.5..4..,25,45,11,0,0,0,0,0,0,Easy,
.6........8.2..17.2.13.......4.5..2.6..4.....837.6..1.....4...614..75...7........,25,44,12,1,0,0,0,0,0,Intermediate,
7.........2.3.9..4..38..69.1...47...9..6.3.2........4.....6...1..4.8...3......7..,23,34,24,1,0,0,0,0,0,Intermediate,
..3.9..71..2...6.3.5.....4......6..77.....3..1.5.....4...91......7...59.6.92.....,24,44,13,0,0,0,0,0,0,Easy,
.....6.91....4.8....9.316.7.8.....3.....94..5.75...1......8.4.6.3...9.7....6.5...,26,49,6,0,0,0,0,0,0,Easy,
3..51.6...1.93..5..2..86..1.32.9..........763..5...9.........9.......8.2..1..83.5,27,68,16,0,0,0,0,4,6,Expert,
.........8...1..63..345.2....2.3...64.6....399.......5.8..2.....64.8.....196.5..2,27,43,11,0,0,0,0,0,0,Easy,
..5.8........1.849.2.3.7....1...9...5.......3.7.5.......78.1....9....38......479.,24,53,4,0,0,0,0,0,0,Easy,
..12.5...9.7..3...32..9....24...9.3.........9......6...35..2.1....64...7....5.9.2,25,65,23,1,0,1,0,6,8,Expert,
.9.4...53..7...4.1.....6...3..61.7.....2.59..........6.1.5.....4...32..77.....1.2,25,71,14,2,2,0,0,3,2,Expert,
..3..7...6.5...3...4..2.6.....63.5...3.7..8.....1.8..........8.51....2.7.82...436,26,46,9,0,0,2,0,0,0,Intermediate,
....9...8..92.3.1...21....63..9.4.....1..7......82....2.47.18...8......9.7.....6.,25,79,29,1,1,4,1,7,8,Expert,
.43..6.51..5.....99.2..8.642..........6145.....9................1.3.4.95...9..1.8,26,41,12,1,0,1,0,2,0,Expert,
9........3...6.8.487....6....21....6....2.7.1.4......8..8..79...6..1....71..4....,24,42,15,0,0,0,0,0,0,Easy,
.5.......9....1.....4........9.....31..739...58....1.......4..27.5.8.3.12.....759,24,45,12,0,0,0,0,0,0,Easy,
.1....4.5.....46.9.......1...4.....8.5....1.....163...5...4...79..3..5..73..958.6,26,40,22,1,0,4,0,3,2,Expert,
..32.....6..19.4...7....1....9.6.2..4......9328...4.....8....4....7.9.1.....86...,24,108,12,2,0,1,0,6,6,Expert,
.63...9......6..........7.......4..3.8...659........4863..2......4.85..697..3.8..,24,44,13,0,0,0,0,0,0,Easy,
...259........7..2..5...4..3....2..7.569.8.3..94.6.2...........9473....8..3......,25,40,15,0,0,1,0,1,0,Expert,
..12....6..7.....3....17.4....6.3..885..4..1.......3.....3.24...6...4..7....8....,23,43,15,1,0,2,0,0,0,Intermediate,
.25.71.9..8.......1...6.......2.......2.5.8.7.9.7...2.6...2.......1.5..8.4.9.....,23,37,21,1,0,0,0,0,0,Intermediate,
1..6..2...29.1...6.7....83..........93........8....6.7...8.647...4..3...2.7..9...,24,41,16,0,0,0,0,0,0,Easy,
9.4.5...3.......7.1.8....5.8......47.5.47.9...47..8.....1.6....38.....9...6..1..8,26,38,17,0,0,0,0,0,0,Easy,
...19......4..2..........5..5.76...1....4...93.25.1...6...2..1....4..673.3......4,24,47,10,0,0,0,0,0,0,Easy,
2.........3.9.4.76..4.1.......27.3...9.3..18......16..7...2..4......6.13...8.....,24,39,17,0,0,1,0,1,0,Expert,
......3.73.26......1.....6..6....4.9..1.....24.92...3.5...9.6......15..4...4..29.,25,41,15,0,0,0,0,0,0,Easy,
..2..4.797.4.5..1...62..5..6.....4.7.....9.2.....418.6.7..2.......8.5.......6.1..,26,48,7,0,0,0,0,0,0,Easy,
..471......2.46..5.8....7..1....2.53.3.85......743.1..37.18...2....67......5.....,28,62,6,2,0,0,0,3,2,Expert,
9.8.3..5173.4...9........8..2.9.........4....3.9.....81..7..5.....8..7.224.1.....,25,33,23,0,0,0,0,0,0,Easy,
.2.6...59....946......321.......529..1.7.3...6.......5..........67.1.9.3......527,26,45,10,0,0,0,0,0,0,Easy,
....91.....1...8.6.2.........9.1....7.89.4......2..63..1..4......7..83...9637....,24,35,22,0,0,0,0,0,0,Easy,
..1.63.5.4..59....8......3...2....4......6...6.52....8....1...51.83..46..2.64.8..,27,335,39,11,1,1,2,36,62,Expert,
....97.1.81.....37........5..4.1...3.8.57....17.6...4.76......9.4....3.8...3..1..,26,38,17,1,0,0,0,0,0,Intermediate,
....5....26.....171.....45..4..7....6..5........92..7...2.186....8...........25.9,23,56,19,3,1,1,0,5,4,Expert,
.2..3...5..5.86...1....7....74................124....82.....5.45..27.3...3....6.7,24,44,13,0,0,0,0,0,0,Easy,
1..5......4...7..82.81.6.7...3.....6.....5.37..23..4...6.4....2....7.......63...4,25,45,20,0,0,0,0,3,2,Expert,
...6.2.7.....7..3...1...8..1.6.934....2......8......17...2....4..9746.8.......96.,25,43,13,0,0,0,0,0,0,Easy,
....9.......1..2.89.684...5...9...72..4......8..5...1.2.86..7.......9..4.....28..,24,48,9,0,0,0,0,0,0,Easy,
.1.9.7.2.....2....3..8.1...57...29..9.83......2..7......1..5.8....4.87.57...9....,26,34,21,0,0,0,0,0,0,Easy,
...794.5.2....5.9....8..............3.5...2.8....1.....3.2.....92...871.5.8.7.9.4,25,38,18,0,0,0,0,0,0,Easy,
6.....2..51...6...2......58.6...5.2...1......43..78.....7...31........84...3..7.5,24,49,8,0,0,0,0,0,0,Easy,
6........5..7...3..13......862..1.73..7.......4.5..........61.27..4.2..54...3..87,26,62,5,1,0,1,0,3,2,Expert,
...5.....74.16......8......6..3.8....7..568........4..4......5...571...99.3.4.1..,24,68,19,5,1,5,1,8,10,Expert,
..36..5.17..9......2.........714...249..25......7.9....6.....2.2.5..1.7.....943..,26,34,18,3,1,2,0,3,0,Expert,
.9.6...5.....5793223...47....2......75......66...........12..4.....7.1.3.1...3..5,26,52,3,0,0,0,0,0,0,Easy,
...3....119...2.5......7....4......3...7.4.9..19.5.4...54.39....6.1......3..2..7.,25,80,27,3,2,1,1,11,14,Expert,
......352.....1.....7....41.9851.......9....4.1.3279...7.....2..45..2..9..3...7..,26,42,13,0,0,0,0,0,0,Easy,
......59...8..7.4.7.5..18.22......5.3.....4....7...219.............13.....154.97.,25,52,4,0,0,0,0,0,0,Easy,
..26....5.9.32.4.674...5.8..7.45..3...8..3...5...9.8.4........3......29...4......,26,46,9,0,0,0,0,0,0,Easy,
42....3.77..5....1..9....5..5.82..1..417...3.......8.49............392.....2.....,24,57,20,0,0,3,1,2,2,Expert,
.9..2..5...2...4..7......3........7.15....984.....51.....23..1.2.4.517..8.17.....,26,55,10,5,1,3,0,3,2,Expert,
16.4...87.........9.4........7.....24...8....32....9..63.....1...271.3.6....68..4,25,46,10,0,0,0,0,0,0,Easy,
..8..9.3..4365..7....7....4..2.4.6...3....5..7..283.49.......5..9..6......6......,25,56,0,0,0,0,0,0,0,Simple,
......43........8....6....56...1...95..9.8....83.46....285...1...14..6....5..3.94,26,50,21,1,0,0,0,4,6,Expert,
54..1.6...8..3.74..7......5..5.4...8.....9.3.8....6..9....9.......4.5...6..7.3...,24,58,8,0,2,1,0,2,2,Expert,
.4.7.1...6.34....18.2.3..7.3...2.....2.5...86.5.6..7......4.1........5.....2.8...,25,51,5,0,0,0,0,0,0,Easy,
9..4....1....38.74..4.......283.49...9.58....3.1........9......75219..4.8...5..1.,28,117,24,5,0,0,0,10,16,Expert,
.7..8.5.3........6..8.35.2......2.67........1.596.72..7..3....5.9..2.8.......9...,25,73,6,1,0,1,1,2,2,Expert,
9........3..9...14..4..1.2...7214....9........65.3..71......35..7...2...1....7.4.,25,39,17,0,0,0,0,0,0,Easy,
.1...6..9...9...5.74..2....2.6..9.7...............182..58...9....1.....646.....85,24,35,22,1,0,0,1,0,0,Intermediate,
.2..3.69......9..4....8........9.4....41...855.......9.6...2....958.42.6.3.......,24,42,15,0,0,0,0,0,0,Easy,
..8.....6.....1...4.....891..46...5....5.4..81.......9..54..1.3.....9..23.1..2.6.,25,50,17,2,0,3,1,2,2,Expert,
74...9..3.9....4...8.3.1.....3....4..75..8...41..5..78.57....896...1..........16.,27,39,13,2,0,2,0,2,0,Expert,
21.35.....7..........24..9..........4........7....536...1.76.4.6.3...17..9......2,23,50,8,0,0,0,0,0,0,Easy,
..1....3.....2.7..374......5...9......8.7...172...49.....3..4....95.....1..2..59.,24,51,6,0,0,0,0,0,0,Easy,
4.6....8.1.7....53.3...16.2...5..26.5.8.....1.....47...8...5.....2.6......4....3.,25,48,7,1,0,1,0,1,0,Expert,
.7......514....7....96.......7.6.....1.....9.6....1...3..5.7.16...4...5.5..1.692.,25,35,21,0,0,0,0,0,0,Easy,
....9.5..2.3..17.4.4........793....1.8.....5...54..9...172...........47.9......28,25,52,4,0,0,0,0,0,0,Easy,
..42.1.......8...3...364.............5.........2..7..1.2.4..6.751....3.84.31..25.,25,42,14,0,0,0,0,0,0,Easy,
.92....1....72....6....3...45.....9..3..9..6....31...75.94..6..7......34.6....2..,25,41,13,0,1,0,0,2,0,Expert,
..1.3.....358....6.6.19.8..5......13....2..9...43...........6.....6.9.84...4..251,26,31,24,0,0,0,0,0,0,Easy,
...1....66..53.4...2....3....4..37......64..5.....721...7....2.4.....8..8.2..6..7,25,45,11,0,0,0,0,0,0,Easy,
.4.8....1..7......3.9...8....1...7.......7.4..7.4.2.19....19..5.182....79.5.....2,26,39,15,1,0,0,0,1,0,Expert,
.42.5..6.....968..5..2..1....71............15......4.69..........6.8..7.7.19...2.,24,55,17,1,0,0,0,2,2,Expert,
.4.8.269.........8..8..645..8.9.........6...3.5..21.6...3645.8......9.14.....3...,27,44,10,0,0,0,0,0,0,Easy,
....371.479.....3..1.6..98.8.67.3....4...17.....2....63...4.........24.........6.,25,37,19,0,0,0,0,0,0,Easy,
....2.6..4.3...7.5.874....3.3.6....8.9..4....6....543.9..8.............2...7....6,24,30,27,1,0,0,0,0,0,Intermediate,
..9..3....8.64.9..51........2..8......31.48..84...91.2.34.9.......831...1....6...,27,44,10,1,0,0,0,0,0,Intermediate,
783.5....2.........9...17....8.....5..51..2....7....9.1.98..5.2......96.....2..73,25,56,16,3,0,0,0,7,4,Expert,
..5.48.6..........6..9..81..4..........35.9......29.81....6.3...1.4....8...2.5.46,25,34,22,0,0,0,0,0,0,Easy,
..9.....8.7....49..4...6..1.......4..134...29......8.3.9271.3.6.8.....12.3.26....,28,44,7,0,1,2,0,2,0,Expert,
.49.2.3...........683.4.1.9....528.1..5....3.41.96..5...4.....59......832.....6..,28,47,6,0,0,0,0,0,0,Easy,
.2....6.....16.....6...5.931..6..3.9.....9.5.....2......5912.8....8..7.5....3....,24,45,16,0,0,1,1,2,2,Expert,
.982......4..3.1..37..1..26...79............3......8918...6.3.24.....68........7.,25,49,7,0,0,0,0,0,0,Easy,
2.3...8..86...93.495.7...2...5...7..48..6...36.2..........8...2.....24........679,27,54,0,0,0,0,0,0,0,Simple,
..512.89..97....2.....6.5.....98.61...1.7....8....1.4...4............2786.9......,25,46,10,3,0,0,0,0,0,Intermediate,
............647.3..9....2..2.6....95..4..3.7.3...2........1.6...1..9.72...93...5.,24,38,19,5,0,2,0,0,0,Intermediate,
5.9.3..........2.9....7..3.1.4.5.9....5..8..4972.1....7...2.5........7.1...4....3,25,33,22,2,0,0,0,1,0,Expert,
..4.51..6....8..142...6.5..56.8....2.8162...3.2........98...3.13.....9........6..,27,85,10,3,0,1,0,6,6,Expert,
5....2..4..3.....11..3...........4..89...451.....2..69....6....9..21..3.2..58...6,25,48,8,2,0,1,1,0,0,Intermediate,
4..78...2.9.51.....68.2...76.5.......2........1..5..2..7.....5.5..27.8.4...4...9.,26,43,12,1,0,1,0,0,0,Intermediate,
......8...8.....971......5...947.58..5.8..3...34.....1...6...7.67..8.9...9.75.1..,27,43,11,0,0,0,0,0,0,Easy,
...5..81......6.79.9.7.8.2..16.2....9.716....24....5...6.2.94.........8.......9..,26,50,4,0,0,0,0,1,0,Expert,
...82...5.8.3....92.7.46...4.....3..3......2..75.....896....5.2......734......6..,25,49,7,0,0,0,0,0,0,Easy,
1.3..48............84.9...3..21.3.7...7.2.6.......81...3........4.3.9...691.82..4,27,41,12,3,0,2,0,1,0,Expert,
.54......6..8.1......25.1.....7..25.5.....3............8..7..3...3....252..3.6841,25,45,11,0,0,0,0,0,0,Easy,
...3.........7....1...24....15.8.3....7.....88..2.94...5..3.1...3...82.47.2..5..9,26,41,14,1,0,0,0,0,0,Intermediate,
